"logFC" "logCPM" "PValue" "FDR"
"MRPL49" 2.04756237445729 6.44296770065483 3.74544807775394e-05 0.622502192917895
"ZNF623" 1.93563650458641 4.97270049772415 8.19813504249808e-05 0.622502192917895
"ZNF718" -1.92965490276723 6.81798685678022 9.32308211648788e-05 0.622502192917895
"TUBA8" 1.8086380345297 2.4059781442625 0.000264653246488003 0.95647607408806
"spinach" -1.75981850560937 5.31467289176695 0.000332914260633492 0.95647607408806
"FLG2" -1.74037516236906 5.51255156027562 0.000352782286078389 0.95647607408806
"RPS27A" -1.74104385539378 6.80443168272022 0.000383784302158339 0.95647607408806
"SUV39H1" 1.72148196507555 5.9466256394593 0.000397217578895689 0.95647607408806
"EHF" 1.75350989855392 1.68368154926493 0.000429748123747818 0.95647607408806
"PSMC3IP" 1.70724859090305 7.74270221929181 0.000527461919478237 0.982839117124595
"IZUMO4" -1.65245544130636 3.7637119957526 0.000700674431781502 0.982839117124595
"FMNL1" -1.66027644256229 2.53225800275559 0.000747558997883163 0.982839117124595
"HMGCS1" 1.62842719071133 5.35698779105267 0.000806424579194545 0.982839117124595
"ACAD11" -1.63688299095233 6.69904859522639 0.000819005825415565 0.982839117124595
"RNF39" 1.63705409494191 5.23743081540307 0.000841252023276837 0.982839117124595
"COL23A1" -1.61326881993461 5.65196690685373 0.00088186420940795 0.982839117124595
"MSANTD4" 1.61794590158824 5.4735251506094 0.000920558555237422 0.982839117124595
"potato" -1.65471704145757 2.72102394888113 0.000929062448147303 0.982839117124595
"TCHP" -1.62384493134475 7.69459863950729 0.000932946638369432 0.982839117124595
"IGFBP7" -1.58682897852959 6.69298504364351 0.00113715891913509 0.982839117124595
"C12orf76" -1.57867647091527 5.82267725225297 0.00114244939997172 0.982839117124595
"PPT1" 1.56017847116924 5.27015164992991 0.00133508802755217 0.982839117124595
"MAS1L" 1.56107051971586 3.25967742657395 0.00144558688368481 0.982839117124595
"UBE2E2" 1.56180757237236 7.4574972128905 0.001456866208169 0.982839117124595
"CLGN" 1.54805553478142 8.29146709000744 0.00158356087315378 0.982839117124595
"HNF1B" -1.52476896385008 5.78311311871739 0.001647545991394 0.982839117124595
"FGD6" -1.53098216765493 5.07273642945104 0.0016584793727211 0.982839117124595
"KRTAP4-1" 1.52892827349516 6.49103124504598 0.00170727889721035 0.982839117124595
"ZNF860" 1.5212223165822 4.23574510369597 0.00177983258411982 0.982839117124595
"LGI4" -1.52640152349723 8.12163528572511 0.00180382162944911 0.982839117124595
"LCE3E" -1.5325819776143 4.36071591991117 0.0018765150475614 0.982839117124595
"RASGRP4" -1.52289265651036 3.735849738491 0.00187806629658448 0.982839117124595
"DPY19L2" 1.51050912257171 4.9755907437086 0.00188467167064819 0.982839117124595
"MREG" 1.49849091623087 6.16194407680081 0.0019434226527798 0.982839117124595
"NPAS1" 1.51237307789579 2.85153509678695 0.00201192310254893 0.982839117124595
"FOXR1" -1.52358802547582 1.62312503373065 0.00219140148164872 0.982839117124595
"PARP9" -1.4843211402195 3.99619427680253 0.0023217062110448 0.982839117124595
"GPR119" 1.48482030295797 4.55222206293084 0.00233290857431634 0.982839117124595
"PPARD" 1.48061569625677 7.20310466825297 0.00238526518949321 0.982839117124595
"MRPL1" 1.46496632992354 5.61434852237273 0.00246439551166309 0.982839117124595
"RIMS2" 1.46937371271201 4.1851396466959 0.00246811763686929 0.982839117124595
"KRTAP5-11" -1.47200684598441 6.92186217168832 0.00253155428573116 0.982839117124595
"C8orf44-SGK3" 1.47293729433832 3.06194838132174 0.00255598747323607 0.982839117124595
"TDRD1" 1.4787095026772 2.44498441250915 0.00256176674408077 0.982839117124595
"TUBG2" -1.49100207902445 1.8145437309542 0.00267420992583713 0.982839117124595
"GART" 1.47265420125028 2.1242470812294 0.00279196843247514 0.982839117124595
"AP3S2" 1.45605814958603 3.02611252690569 0.00280752714755628 0.982839117124595
"HOXB5" 1.44116138119273 6.2266659923372 0.00285748752115495 0.982839117124595
"SLC4A4" 1.44010971991456 5.50513363411299 0.00288005375529564 0.982839117124595
"PRH2" -1.43552455840856 5.65227209620146 0.00301376479904856 0.982839117124595
"MYRIP" -1.44513442558793 5.26641064251405 0.00302593875160057 0.982839117124595
"PON1" -1.44114437410092 4.99627259825867 0.00304192823531308 0.982839117124595
"IRS4" -1.48984075406009 0.861751293780909 0.00304363889292278 0.982839117124595
"SLC14A2" 1.43738464256858 3.74253984810654 0.00304657329123934 0.982839117124595
"UBXN6" -1.43018244223226 7.03377516714405 0.00326980183314637 0.982839117124595
"AL135787.1" 1.42324061657267 6.27493350944379 0.00332719288401375 0.982839117124595
"RSG1" -1.42822996064326 6.9057285634774 0.00348275000080929 0.982839117124595
"USP30" -1.57913790333616 -0.870910537864244 0.00365958510021999 0.982839117124595
"EPB41" -1.40784783110207 6.46155414902142 0.0037352983404263 0.982839117124595
"TCF21" 1.49871143184915 0.0302220083321858 0.00377827259182094 0.982839117124595
"IQGAP2" 1.39787126278092 4.02715738351054 0.00387589930400814 0.982839117124595
"BATF2" -1.41683587474938 2.3172785945915 0.00387600224905117 0.982839117124595
"SLITRK2" -1.40409018285113 6.60625945614528 0.00389436915073859 0.982839117124595
"TMEM14A" 1.39390023687099 5.58106689782317 0.00391102400729859 0.982839117124595
"OXNAD1" -1.39697117136801 5.79278271555656 0.00397132487703811 0.982839117124595
"BRWD1" 1.39177310601674 5.5383562923068 0.003993087296812 0.982839117124595
"UFSP2" 1.40267260386516 7.28063685497463 0.00400390242028651 0.982839117124595
"JOSD1" -1.39505371398799 5.38558470422526 0.00402217982415345 0.982839117124595
"HMG20A" -1.38541067653833 6.02282092146408 0.00406390739080904 0.982839117124595
"SOX15" -1.39583046634917 6.52060492903503 0.00408449327336258 0.982839117124595
"LIN7C" -1.41092402052318 1.99299835698314 0.0040944642325209 0.982839117124595
"FANCI" -1.40633634732874 2.97552065628407 0.00412170386146962 0.982839117124595
"ZBTB4" -1.39475960819352 4.28117008450032 0.00413811663314772 0.982839117124595
"OR8H1" 1.39625438965876 6.83272895368659 0.00414230866493594 0.982839117124595
"ZNF561" 1.39010379919548 6.57135086062772 0.00417776483173172 0.982839117124595
"TNFRSF6B" -1.38205534934702 6.10211530906036 0.00418095622602576 0.982839117124595
"FOXJ2" 1.38598244022492 4.34753634142382 0.00423904513683978 0.982839117124595
"CYB561D1" 1.37809585618521 5.99739647201357 0.00424398902059289 0.982839117124595
"RP11-546B8.6" -1.38589483763553 6.70120767611428 0.00435265545975244 0.982839117124595
"VKORC1" 1.38027599887171 6.50416254116971 0.00436096756675138 0.982839117124595
"KIAA1161" 1.37465081658101 5.68544998260559 0.00437321134503747 0.982839117124595
"C21orf91" 1.38247798623895 4.34936320864111 0.00443880794939398 0.982839117124595
"RASL11B" -1.39407184295404 4.63187987269037 0.00445641015886631 0.982839117124595
"DEFB134" -1.36897920059767 5.87719439393911 0.00456213103469811 0.982839117124595
"EPYC" -1.37552246833916 4.74586496714928 0.00468007188145823 0.982839117124595
"CPT2" 1.36565084920315 5.33041029515701 0.00476951625092789 0.982839117124595
"BRF1" 1.37901105861635 2.07393289798093 0.00490976137713868 0.982839117124595
"RPGRIP1" -1.35989417988659 6.243135905718 0.00501976556719581 0.982839117124595
"MELK" 1.35356483685863 5.95005702616156 0.00503770089200661 0.982839117124595
"CT55" -1.38142061592649 2.73293996718941 0.00514457999086216 0.982839117124595
"AC010646.3" -1.37080962848152 4.48868469673373 0.00515972414834682 0.982839117124595
"XRN2" -1.35093699129203 3.90973149892406 0.0051628043378036 0.982839117124595
"ATP9B" -1.35278397076468 6.29509945942443 0.00528750687446304 0.982839117124595
"C2orf76" -1.34163421783865 6.1348596764151 0.00535218093817951 0.982839117124595
"TACC1" 1.35054669594932 4.94174552654034 0.00535452957300459 0.982839117124595
"PRDM6" -1.34629666374541 6.38062913275147 0.00540399766363214 0.982839117124595
"DEFA1B" 1.33977095201346 5.4842595786181 0.00540942801351301 0.982839117124595
"GRAMD4" -1.35138129194054 4.56735598606433 0.00541796572768782 0.982839117124595
"WDR70" -1.35453931080519 3.23316594172899 0.00544306494065063 0.982839117124595
"CRYZ" -1.34888954448265 5.7258099372136 0.00549548848363781 0.982839117124595
"IL4" -1.34987823463296 5.59316420337349 0.00549758849493387 0.982839117124595
"RHOXF1" -1.34738418405856 6.14044835027916 0.00552943140120648 0.982839117124595
"CTAG1A" -1.35511929141542 2.42238792652986 0.00559245136364802 0.982839117124595
"MLNR" 1.33600389977572 3.63149000507513 0.00564272491500301 0.982839117124595
"C5orf24" -1.34483422128531 6.42170544797947 0.00565600792829788 0.982839117124595
"TRAF5" 1.3429953153005 3.23327299802898 0.00569296243335365 0.982839117124595
"CPA1" 1.33139961242279 5.56669224509389 0.00575176374077586 0.982839117124595
"PIH1D2" -1.33295646425372 4.04802218888896 0.00577121455619764 0.982839117124595
"MORN5" -1.34640290445234 4.7879284003141 0.0058151787606733 0.982839117124595
"SPPL2B" -1.32952236365992 6.29290618853108 0.00592147833693077 0.982839117124595
"TMEM64" -1.3348640270248 6.39351375351494 0.0059801826735978 0.982839117124595
"CHAC2" 1.32605751758621 5.80595918504264 0.00598603792798901 0.982839117124595
"MBTPS2" 1.32440233998959 5.83638775051815 0.00600197008706819 0.982839117124595
"PMM1" -1.33901791396551 4.24455710782513 0.006088207883607 0.982839117124595
"CDH4" 1.3248591078657 3.93776223363158 0.0061415823170217 0.982839117124595
"RNF113B" -1.32596266767719 4.74144090394786 0.00623001460745592 0.982839117124595
"LYPD1" 1.33072459333976 3.09946979942924 0.00624494340379181 0.982839117124595
"AP000275.65" 1.32607729821011 3.19060105179436 0.00648743451671895 0.982839117124595
"LIPM" -1.31283078467859 5.54727261177179 0.00648867493960925 0.982839117124595
"LRRC2" -1.32424953908881 4.38881226914574 0.00649424955559253 0.982839117124595
"C4orf47" -1.31722352692248 4.30456979208886 0.0065441706844582 0.982839117124595
"LYRM1" 1.31143988690294 4.07224666207288 0.00665527111114202 0.982839117124595
"HVCN1" -1.3071907349089 5.69406248112081 0.00666549697244138 0.982839117124595
"PHLDB3" 1.32900686378072 2.18240217829287 0.00667769318456293 0.982839117124595
"TMPRSS11A" -1.3254595132752 4.67975094633638 0.00672962639131854 0.982839117124595
"HCN2" 1.31663525974451 4.69888933020749 0.00678866792441245 0.982839117124595
"C6orf226" 1.30913042742658 6.81709377719164 0.00681051733542144 0.982839117124595
"CCT6A" -1.317411858469 7.20847187403807 0.00683155654592696 0.982839117124595
