#gene	sample1	sample2	sample3	sample7	sample8	sample9
anise	5257	1729	4428	3131	4013	2933
apricot	818	1126	1830	1428	1217	1256
artichoke	1229	690	1699	68865	56389	54245
arugula	1054	1649	1374	75572	70931	179496
asparagus	145	76	228	11718	16466	8616
avocado	5639	2730	5952	2797	1369	3388
banana	10851	5365	7223	970859	1067313	598555
basil	3176	1820	3952	205901	275929	498513
beet	2382	2695	2975	1284	754	388
blackberry	440	341	796	31799	46590	33115
blueberry	616	927	2168	1196	1598	552
broccoli	1252	747	863	134237	223169	107198
butternut	2765	2787	1857	1612	5015	3697
cabbage	6813	3673	3190	463766	317660	180091
cantaloupe	1516	1439	1265	97009	76367	117882
caraway	9497	21749	9960	243238	643126	396944
carrot	11953	5412	9406	1729728	637948	1197698
cauliflower	3923	3222	2406	150751	202110	191427
cayenne	1046	745	632	85514	51508	120740
celery	2595	2739	1236	274495	199719	158662
chard	66	45	68	38	74	32
cherry	2690	1982	4979	353106	183624	474242
chestnut	2254	2664	1157	195941	188393	105237
chickpea	259	100	88	261	251	236
cilantro	891	628	281	640	604	400
clementine	2817	9768	4563	4491	4723	4511
coconut	906	723	1152	126674	143696	117240
coriander	3993	4889	2889	152527	272356	160250
cranberry	1062	1000	425	76862	105764	139401
cucumber	23823	17595	18072	1624158	839576	989435
currant	1514	1693	1155	165339	65404	109208
eggplant	2115	2168	2477	1821	2154	911
elderberry	3184	2553	2006	1479	2970	2792
endive	2076	1056	1099	2043	1397	745
fennel	1560	1549	1173	214629	188024	155733
fig	3476	2480	1609	2785	3179	3299
garlic	3	3	3	1	2	3
ginger	1722	2639	6532	3614	2543	1323
gooseberry	8141	8701	8802	4196	5340	4550
grape	1076	500	1011	524	445	818
grapefruit	859	2639	1448	192592	111552	162410
guava	5651	7273	13094	758164	666746	545926
honeydew	6110	3147	5021	4707	3381	3172
horseradish	2232	2023	2101	60519	160070	255489
huckleberry	1018	731	451	185000	80973	90741
juniper	1867	2558	1852	844	1393	601
kiwi	1751	1025	1101	773	828	753
kohlrabi	946	915	1558	89034	58463	129176
lavender	1460	1195	1955	1465	3077	2189
leek	1354	2317	1082	25022	61402	52194
lentil	497	349	493	31426	29147	32837
lettuce	1071	1183	629	1375	2163	759
lime	2613	894	1713	1724	1121	810
maize	2937	3223	3558	283111	195759	160894
mango	306	1585	1158	393	384	929
melon	626	452	409	194	299	421
mulberry	572	791	770	180828	57359	135252
mushroom	8124	8990	5974	7089	4462	6005
mustard	517	620	1024	123045	158513	207961
nectarine	830	401	649	50659	33415	48056
okra	1966	1387	723	124878	114701	117457
olive	2283	2084	3903	179846	162525	141866
onion	3207	2923	6954	258460	356018	280363
orange	629	338	479	355	200	504
oregano	3384	2110	3055	1330	2430	1313
papaya	371	305	376	347	600	244
parsley	2573	2205	2858	4992	1228	3603
parsnip	64	108	187	108	79	180
pea	1561	393	766	86464	142653	61924
peach	6394	2774	11211	2364	5641	3921
pear	140	126	200	161	279	141
pepper	12747	10308	8654	521697	494322	1094325
persimmon	44	22	41	17	16	7
pineapple	11293	13531	6141	17585	3910	8837
plantain	1425	3190	1954	1117	1637	1649
plum	1067	1099	1477	137768	120407	106811
pomegranate	10883	3358	5203	7765	5339	5466
potato	3125	3753	3889	239244	83551	299416
pumpkin	480	1637	1187	175816	129919	127671
quince	1409	3025	2187	146746	135080	209445
radish	3036	1470	1175	1737	930	1576
raisin	2100	3344	1613	55889	99734	48057
raspberry	9915	3125	12576	5781	11344	11307
rhubarb	2214	3765	4877	2092	3746	962
rosemary	1411	755	1528	1120	1453	401
rutabaga	1546	1941	889	716	870	690
sage	2190	2481	6550	1716	2107	4148
scallion	594	1212	821	106224	140545	232737
spinach	135	71	153	5609	3891	5916
strawberry	456	857	744	686	1081	603
tamarind	4664	9487	11107	8193	7657	6500
tangerine	164	264	134	129	224	87
thyme	99	137	234	7845	4299	6230
tomato	6202	3035	4301	5176	4022	7274
turnip	47287	35136	14712	33059	17522	32835
wasabi	1860	2126	2273	210471	237311	223223
watercress	152	184	145	10112	4379	5522
watermelon	1009	1130	967	209557	93066	122983
yam	4304	1835	6515	3897	2482	2215
zucchini	670	973	617	21700	63810	45159
OR4F5	6427	15628	9552	6237	3106	10587
FO538757.2	8779	4862	6139	6474	3779	5328
FO538757.1	5304	5071	5599	6228	3222	4463
OR4F29	85	112	103	59	33	37
OR4F16	18	32	26	35	53	21
SAMD11	4674	4413	7517	7022	7524	6406
NOC2L	8955	7248	2934	1620	4688	3981
KLHL17	912	2533	1625	1598	3727	1081
PLEKHN1	4548	2601	2296	2673	2645	1601
PERM1	432	280	143	202	123	157
HES4	1119	1596	823	378	603	1045
ISG15	1838	2038	800	1174	757	2231
AGRN	3267	3488	2935	1122	2295	2192
RNF223	1735	1756	2853	2877	1496	951
C1orf159	507	920	268	1156	237	698
TTLL10	797	699	388	710	625	502
TNFRSF18	5008	5198	11569	8113	5418	4188
TNFRSF4	1830	1910	3896	1747	2753	1867
SDF4	4970	4070	9300	7248	9404	12630
B3GALT6	3757	1740	3362	2407	1328	2657
FAM132A	572	393	787	311	461	420
UBE2J2	2234	2562	3116	3701	4131	4851
SCNN1D	2280	2085	2162	520	2869	3499
ACAP3	3485	2830	3983	6258	2617	10429
PUSL1	141	127	117	95	110	114
CPSF3L	7116	2991	1877	2147	1886	920
CPTP	1782	2126	3587	1332	4030	1577
TAS1R3	110	126	83	83	100	72
DVL1	7353	4820	7919	6619	4131	3026
MXRA8	16107	13121	7714	14620	3937	7632
AURKAIP1	1146	587	1217	656	705	856
CCNL2	3049	3119	6396	4807	1961	5239
MRPL20	828	714	359	555	414	478
ANKRD65	191	197	120	145	94	98
TMEM88B	4095	4332	5880	6924	6262	3687
VWA1	3712	3866	2283	3793	2949	2498
ATAD3C	1878	5557	2489	3754	3550	8869
ATAD3B	454	1557	810	798	314	412
ATAD3A	434	574	843	353	697	709
TMEM240	454	551	357	573	514	338
SSU72	20283	11658	6399	7608	9425	9056
AL645728.1	11317	12586	6645	7582	8189	6277
FNDC10	10622	6961	4903	6174	3739	1853
MIB2	3380	4598	2974	2548	1651	2965
MMP23B	5894	4230	3724	3671	3327	2501
CDK11B	1601	2706	2321	3003	1176	735
SLC35E2B	10985	6492	6464	4893	4494	9526
CDK11A	1155	718	1452	634	410	636
SLC35E2	4791	3144	6124	4709	3037	4856
NADK	1038	1452	1005	2245	697	1402
GNB1	1284	1948	1826	2354	920	1025
CALML6	1680	581	1195	1165	1650	808
TMEM52	5559	4426	6296	3013	2005	7410
CFAP74	1494	1200	1045	1236	844	914
GABRD	2156	4506	1799	1423	1543	3403
PRKCZ	2828	2582	3319	1838	1703	2472
FAAP20	5280	4187	3111	1594	2269	2420
SKI	8876	9186	3770	6210	1372	2361
MORN1	1454	1486	1673	2507	2552	2024
RER1	462	537	426	198	195	262
PEX10	1939	4776	4645	5004	4830	4986
PLCH2	1998	2752	2033	2464	2906	2595
PANK4	3067	1834	2032	1160	1039	709
HES5	2069	1827	2706	871	1716	2553
TNFRSF14	7718	17108	8077	6657	6630	11580
FAM213B	1030	1569	507	967	1230	587
MMEL1	1026	1364	1148	830	479	590
TTC34	4225	6569	14289	13724	7248	6373
ACTRT2	181	235	424	109	252	326
PRDM16	3987	1717	5512	2870	3504	2105
ARHGEF16	2370	594	1886	2257	2899	1554
MEGF6	6384	1743	3299	4135	2687	3984
TPRG1L	747	385	577	533	1495	393
WRAP73	178	248	468	522	208	365
TP73	3972	3207	3060	2723	1336	2663
CCDC27	1686	1975	1737	1280	1474	1161
SMIM1	218	267	140	165	114	268
LRRC47	2399	2437	3327	1355	1460	959
CEP104	657	654	978	607	1181	604
DFFB	2386	2587	5734	3453	3744	7415
C1orf174	4991	4555	3279	2157	2130	2793
AJAP1	993	1530	838	1716	1804	820
NPHP4	616	2303	1212	843	722	386
KCNAB2	1653	2650	1915	1430	545	1125
CHD5	2607	2875	1459	2279	1220	3743
RPL22	4186	6604	7874	4479	3519	5879
RNF207	2123	2023	2146	2321	1272	1555
ICMT	1185	1686	1113	444	922	1186
HES3	10016	13354	6966	8899	15422	12751
GPR153	9803	8322	13454	9264	11130	10009
ACOT7	1918	1241	1512	572	924	920
HES2	190	534	554	270	294	325
ESPN	1579	1847	916	1433	936	1062
TNFRSF25	1005	1146	587	914	547	1006
PLEKHG5	889	932	569	519	302	617
NOL9	496	218	259	206	510	251
TAS1R1	1505	780	920	837	1035	2427
ZBTB48	627	1254	333	1504	987	1878
KLHL21	2192	4766	5154	6473	3568	6025
PHF13	3169	3555	5602	4160	3564	5830
THAP3	558	397	1295	286	820	817
DNAJC11	373	578	381	1028	228	385
CAMTA1	6319	6095	6826	11141	4271	7477
VAMP3	194	194	139	94	79	222
PER3	593	858	451	893	537	707
UTS2	899	1323	1062	724	713	504
TNFRSF9	12362	6244	6740	6447	6991	12981
PARK7	1673	2324	2535	1243	2960	1733
ERRFI1	3077	7346	3145	731	2346	1146
SLC45A1	852	1562	563	810	611	803
RERE	917	1269	790	940	916	393
ENO1	720	1869	2047	394	643	351
CA6	4375	9011	6008	2088	3247	4063
SLC2A7	2990	1327	2228	1055	1844	2319
SLC2A5	7084	1989	11184	9476	7012	2227
GPR157	1410	534	1353	513	519	463
H6PD	273	309	216	331	275	208
SPSB1	1195	1752	1158	1726	2243	2731
SLC25A33	1097	3715	3416	3208	3103	2367
TMEM201	222	143	97	62	94	116
PIK3CD	3465	5650	5230	9562	6391	8712
CLSTN1	1445	1865	3705	1630	923	969
AL357140.1	8735	4751	12583	6719	10088	17451
CTNNBIP1	5490	3227	3752	3607	6504	2990
LZIC	5481	6715	7279	3934	9121	1374
NMNAT1	5033	5781	5839	5404	3341	1445
RBP7	2907	2257	3483	1638	2431	2619
UBE4B	2004	2385	3130	1658	1605	2601
KIF1B	2773	3426	1143	1203	1641	3092
PGD	1789	1518	1375	768	612	840
APITD1-CORT	1441	1291	1308	844	1009	1952
APITD1	1920	1329	2268	2420	1214	1386
CORT	9714	8531	5905	13718	11524	16642
DFFA	1075	1416	2478	508	439	1090
PEX14	1091	2032	1852	1230	1733	1110
CASZ1	5769	6615	8144	5585	4881	2245
C1orf127	512	860	693	648	677	619
TARDBP	3696	3196	4053	2382	1607	2849
RP4-635E18.9	8477	3180	2933	3233	4155	3468
MASP2	115	83	72	78	76	50
SRM	1225	1687	1182	439	1075	961
EXOSC10	645	1528	827	242	574	1002
MTOR	1497	762	379	447	822	400
ANGPTL7	132	382	179	247	189	447
UBIAD1	3220	1238	3766	867	1490	2445
DISP3	4515	5605	4508	4889	2456	4419
FBXO2	10287	2969	10571	4153	2933	5378
FBXO44	3477	7413	7096	4442	6885	4889
FBXO6	4555	9551	2906	2534	6641	3372
MAD2L2	7338	9666	4831	7114	3176	9714
DRAXIN	5098	5750	3736	3984	4930	4424
AGTRAP	645	555	795	450	676	377
C1orf167	7580	7901	9884	3084	3071	5360
MTHFR	1112	1762	1503	756	1070	979
CLCN6	884	675	652	377	681	414
NPPA	2541	2000	2140	1618	1023	2405
NPPB	1235	2921	1908	958	709	1182
KIAA2013	534	606	495	380	340	246
PLOD1	2279	1661	3587	2458	2121	2082
MFN2	1495	2667	946	1091	1870	712
MIIP	3150	4497	2154	3371	1312	5204
TNFRSF8	414	351	461	406	338	291
TNFRSF1B	1208	1298	1930	1446	2192	1792
VPS13D	206	148	311	214	160	106
DHRS3	2385	3293	1054	673	1984	1937
AADACL4	4407	3647	4548	3682	5624	4896
AADACL3	7401	5443	19446	9382	6898	2461
C1orf158	317	163	232	163	167	330
PRAMEF12	1003	339	1109	545	424	877
PRAMEF1	323	555	250	412	218	445
PRAMEF11	2479	7426	8453	2602	4178	2374
HNRNPCL1	657	733	1259	1215	534	1050
PRAMEF2	2653	1351	2296	630	3441	954
PRAMEF4	333	377	627	246	323	228
