"logFC" "logCPM" "PValue" "FDR"
"mustard" 7.82580081582823 10.4165812218044 1.39770389140801e-35 2.79974066487939e-31
"scallion" 7.51059868366105 10.3875719435868 1.96803939268903e-33 1.9710898537477e-29
"mulberry" 7.44294642568463 10.0181210930735 7.30791990059005e-33 4.81843961740919e-29
"broccoli" 7.35191259634095 10.3490949106542 9.62196518877578e-33 4.81843961740919e-29
"huckleberry" 7.33605811457102 9.95496718257826 3.58454815102202e-32 1.43604168026244e-28
"coconut" 7.12672751991955 10.0844680628992 5.97906786829487e-32 1.99611180783024e-28
"fennel" 7.02710773479146 10.6097130330135 1.7174030451803e-31 4.9144714854295e-28
"watermelon" 7.09224465837222 10.2114061722664 1.98391344161177e-31 4.96747126861568e-28
"carrot" 7.05316896994486 13.2767031049198 5.49867939543453e-31 1.22382274411055e-27
"cranberry" 7.01821760449085 9.8175175065044 1.79477623581377e-30 3.59511627795857e-27
"pumpkin" 7.03065980296639 10.2424299462171 2.20225976866466e-30 4.01031503873835e-27
"banana" 6.81958157386816 12.8536308283634 4.48052325339739e-30 7.47911344073359e-27
"wasabi" 6.74630117386801 10.8787971326303 5.34124301104985e-30 8.2300337503338e-27
"basil" 6.77895739257262 11.4242020993318 3.11169201741493e-29 4.34255836202697e-26
"plum" 6.64734865715273 9.99944814512548 3.25187836006213e-29 4.34255836202697e-26
"cayenne" 6.73001882337894 9.49256231531404 4.50435832363212e-29 5.63917509879219e-26
"cherry" 6.70801469016298 11.4633999440424 1.27725417512126e-28 1.50498108128552e-25
"celery" 6.58788941519345 10.7927461641446 2.29567911107247e-28 2.55470823743848e-25
"pea" 6.75336191221632 9.67909745335044 4.56148176256831e-28 4.80900216768452e-25
"grapefruit" 6.55204793049823 10.3506288666097 9.69305966344611e-28 9.70808390592445e-25
"okra" 6.4538403976212 9.96979364817329 1.51237775128329e-27 1.44259232075979e-24
"kohlrabi" 6.33600534401975 9.59950631290805 7.6166910382031e-27 6.93499719028393e-24
"chestnut" 6.33314668694154 10.4283422638352 9.19714555711107e-27 8.00991402845617e-24
"guava" 6.24430830820556 12.4371073691827 1.03679803789956e-26 8.65337562381921e-24
"currant" 6.27694232713193 9.89425574028532 1.48580870498644e-26 1.19048936678334e-23
"arugula" 6.31795579837933 9.83795337110645 1.66639305553283e-26 1.25684321678593e-23
"asparagus" 6.36417543901286 6.6982040010014 1.69411246833509e-26 1.25684321678593e-23
"quince" 6.21025098777351 10.4321931211031 2.51878341334618e-26 1.80191966259776e-23
"lentil" 6.1258164646143 8.03949275359915 4.55004380314248e-26 3.12343815205281e-23
"cantaloupe" 6.10740593991496 9.67842773374965 4.677906473046e-26 3.12343815205281e-23
"nectarine" 6.13483118829454 8.53668097464901 8.38070371118604e-26 5.41528632383121e-23
"maize" 6.03928755753997 10.8147195992542 1.08172513285837e-25 6.5656760307797e-23
"horseradish" 6.2316292462988 10.3914144529244 1.08720145727327e-25 6.5656760307797e-23
"blackberry" 6.15040442312708 8.29934067822845 1.11443754703465e-25 6.5656760307797e-23
"onion" 6.10162055049272 11.3036240543025 1.28200840478696e-25 7.33711724465362e-23
"pepper" 6.05568534102251 12.5364182363836 1.39237239829851e-25 7.74739208619932e-23
"cabbage" 6.1364594802222 11.4014293944365 1.49470931339456e-25 8.09203304232608e-23
"cucumber" 5.85596370015066 13.2471222652859 8.61427104286341e-25 4.54085429630519e-22
"olive" 5.87361105184386 10.4176936081018 1.3575824726876e-24 6.97275243856547e-22
"cauliflower" 5.83641273528428 10.5897087560436 1.6411130511432e-24 8.21828388186238e-22
"potato" 5.8451999351826 10.7719590813093 7.99843603076466e-24 3.90772371054261e-21
"zucchini" 5.86109152342181 8.53697964301083 8.57014655368652e-24 4.0873477527832e-21
"coriander" 5.64148917654947 10.7015040734941 3.6564832239239e-23 1.70332594089348e-20
"artichoke" 5.63479880722151 8.98936404451592 6.2417425156846e-23 2.84155328026542e-20
"spinach" 5.42299870866643 5.4512868669777 2.17184557439662e-21 9.66760860016415e-19
"watercress" 5.37126196463247 5.82541440686747 3.06393660235187e-21 1.33421117568936e-18
"thyme" 5.28408042806797 5.70605046650365 1.41551983352274e-20 6.03282506070087e-18
"caraway" 4.96693487203367 11.8536932833592 5.92069132352212e-19 2.47077849794733e-16
"raisin" 4.85666331228771 9.20015364726055 1.78736649130549e-18 7.30668126272250e-16
"leek" 4.8709532643876 8.64410744702603 2.15612614928566e-18 8.63787257926822e-16
"SPRY3" -2.26727776869389 4.87822567926255 6.78660970291242e-06 0.00266554076390272
"SUPV3L1" -2.2843245614021 3.82288844119757 8.19671298270428e-06 0.00315746841839518
"SLC26A4" -2.09436050422128 6.63935362528218 2.39143475594241e-05 0.00903826973514762
"AC008914.1" -2.02485128728558 6.63983545783853 2.97925581344608e-05 0.0110513839257664
"PDE2A" -2.00754164709057 4.76070379532509 4.20972892704844e-05 0.0153318327523104
"DNAJC25" -2.05980692939593 5.40596522303879 4.33878099842136e-05 0.015519664674889
"KCNH5" -1.98677993537201 5.0454807473539 4.79843220780037e-05 0.0167041202062426
"CCDC80" -1.98458620601492 3.64589953629137 4.83669797794454e-05 0.0167041202062426
"OAF" -1.96769854123323 6.5155700465403 4.94933531030374e-05 0.016803412813677
"ODC1" -1.97817505612263 3.90566400463043 5.41793706486365e-05 0.0180877828910473
"PNMA6A" -1.96774060609315 4.54250889806238 6.32908634101168e-05 0.0207832669666893
"HAPLN1" -1.91943761718294 5.48064963748731 8.07393274017251e-05 0.026085313986838
"SMARCE1" -1.9122581004546 5.99315284050675 8.41941726094506e-05 0.0267697376434906
"ADNP" -1.90195716834725 5.13336757183158 9.05412286416006e-05 0.0280924921017988
"STK10" -1.90342030565847 5.5073326879436 9.11593024121073e-05 0.0280924921017988
"CYP8B1" -1.91344311687521 4.60274144980943 9.28363957069307e-05 0.0281758460970535
"SLFN12" -1.87834585600805 5.83990794524972 0.000107530244708614 0.0321483333098247
"PSKH2" -1.86397553123838 3.42845564368391 0.000159175490928375 0.046382146074416
"RAB3D" -1.827744845863 5.65628955790831 0.000159770759279851 0.046382146074416
"STBD1" -2.18396872909588 -1.24705222797048 0.000176638001167539 0.0505462257340997
"AP000349.2" -1.84770297724927 1.55969632424147 0.000197849471024205 0.0556352535910239
"THADA" -1.8144972882231 3.64248390211633 0.000199976948657267 0.0556352535910239
"ARID3B" -1.79627622400381 3.98652211723281 0.000206048103258663 0.0565390350188258
"NAP1L3" -1.82185323124464 6.18630011375588 0.000214473916575623 0.0580557705800851
"AKAP2" -1.79370324079671 4.31592008892981 0.000239679207106163 0.064013522633914
"EPN2" -1.81334490572954 5.92026010662817 0.000246579071833521 0.0649715984388298
"NFKBIE" -1.79295928936494 4.0880542501976 0.000249753536008681 0.0649715984388298
"CALU" -1.78569079821151 6.20496847465197 0.000281951061491474 0.0724072014453297
"APOO" -1.7409878589366 4.23799196248461 0.000314476245735352 0.0797376414977828
"SYT9" -1.74431684249558 3.61622938002178 0.000331511228844659 0.083006267812342
"DEFB1" -1.71145034580113 6.8901291117876 0.000347676835391077 0.0859791937002305
"LSM7" -1.74586508105618 5.15721394167736 0.000363723838611259 0.0884450353936584
"KIAA1324L" -1.77932312973495 6.15905446128276 0.000366478854658961 0.0884450353936584
"NNT" -1.7081432640551 6.76964814100825 0.000388517570887278 0.0926475650290841
"KLHL12" -1.72604338494372 6.04941925529878 0.000401866910506707 0.0935828062337667
"CCL22" -1.77121331998486 2.18815145569798 0.000405225709125796 0.0935828062337667
"beet" -1.73313691510735 4.86335772370605 0.000406455201554476 0.0935828062337667
"SGSM3" -1.73302559044969 5.33295170772323 0.000411730293985195 0.0937201081683801
"CRIP1" -1.72092921856135 4.22331190630676 0.000420281849165442 0.0945917496700333
"ENO1" -1.73463787832728 4.06951961684512 0.000434753342105446 0.096761602174602
"FAM24B" -1.68705052147847 5.48501785200043 0.000454222107434877 0.0999837696047035
"SIGLEC1" -1.71442623762427 6.41678612633114 0.000513901904240669 0.111890967867879
"RFX4" -1.70983731078773 4.7733398438674 0.000524244106720915 0.112915416147598
"TOX4" -1.70786476313877 5.5456460362531 0.000531264379841012 0.113210178644631
"KAZALD1" -1.73181464329198 4.10599380403981 0.000565714912594454 0.119282478043995
"C9orf131" -1.65488294429446 5.45904099642245 0.000583249902622549 0.121022163009753
"KDM3A" -1.66792001156767 5.47526209739012 0.000586049114469874 0.121022163009753
"BUD31" -1.63749702544564 6.74018995754584 0.000598031765232751 0.122236472340584
"SLC4A10" -1.64983332054084 5.87511365960053 0.000656324170953256 0.132796257256209
"AARD" -1.71489667032155 5.01473771122447 0.000700521253241565 0.14007644076872
"SYTL2" -1.64176015011137 2.80628341401767 0.000706291274406708 0.14007644076872
"ERRFI1" -1.67569252618687 5.63275795771501 0.000716230295348897 0.14065499064837
"NBPF15" -1.64369186602351 1.99701938070784 0.00074357233107483 0.144411883207874
"CDRT1" -1.60853599083085 6.59043934669598 0.000755844496692152 0.144411883207874
"WISP1" -1.63911040357366 4.53193340575785 0.000756989053807935 0.144411883207874
"LHFPL3" -1.63221722955214 6.97097532630842 0.000768725928235339 0.145234080475033
"MAP3K8" -1.61382102726332 6.75371316689938 0.000777261006944901 0.145234080475033
"PFDN4" -1.61743661460521 7.1471105285022 0.000789985860356815 0.145234080475033
"E2F1" -1.65832269543691 4.66427615533099 0.000790300772391723 0.145234080475033
"TSPEAR" -1.61898257363872 3.58860008073664 0.000803176975787981 0.14583451933836
"ZNF148" -1.66887741918476 4.50121741427483 0.000808128982405171 0.14583451933836
"BRPF3" -1.60619207693563 6.56465887037388 0.000847119566862813 0.151505821819902
"PPP3R2" -1.60960126252968 7.4347221359711 0.000860318457501279 0.152069088265072
"SH3GL1" -1.63765073435333 6.17496434070995 0.000871508802895905 0.152069088265072
"PI4KB" -1.62293646896257 4.06791591514345 0.000873044039263304 0.152069088265072
"RICTOR" -1.59465642230716 7.00989961706578 0.000886465926281676 0.152435647919769
"SDCCAG8" -1.61053779716202 3.69683612185795 0.000891782992180626 0.152435647919769
"TOMM70" -1.62567557420141 6.19188954402137 0.000898074598084098 0.152435647919769
"NKAIN2" -1.59398848042745 5.63104909343567 0.000910239447958506 0.152435647919769
"HIST1H4C" -1.59168080764046 6.71045424956396 0.000914003591965022 0.152435647919769
"LTF" -1.63056770153683 7.11184410538121 0.000922543032600533 0.152435647919769
"RP11-574K11.31" -1.61888777073777 4.40813524147736 0.000932241226216563 0.152435647919769
"MS4A6A" -1.57665060864547 6.81941116394256 0.000940029994414472 0.152435647919769
"TAS2R9" -1.60048640592862 7.58614116143499 0.00094363837761726 0.152435647919769
"FAM98C" -1.6041345794008 4.0052006940394 0.00095994045360875 0.152694316635415
"MRPL16" -1.66522052810707 5.42024778527873 0.000969512493060861 0.152694316635415
"STK16" -1.59509138462498 4.9723809059677 0.000975702767825461 0.152694316635415
"ANXA2" -1.62519340509985 5.05898978159551 0.000975731243039945 0.152694316635415
"AXIN2" -1.62998932746055 4.08163267898443 0.000988766370099781 0.153242706017922
"SPDYE5" -1.5988237774783 4.18731434422325 0.000998052558249833 0.153242706017922
"TLR10" -1.6051343963369 3.26293747334563 0.00100218633559721 0.153242706017922
"IRGQ" -1.59036580127132 4.70417457753427 0.00101044395182548 0.153334869689517
"CFDP1" -1.58297793661519 5.48127796172662 0.00102066930532036 0.15372200642761
"ZNF711" -1.59639488278322 5.38366443144641 0.00105014904562057 0.156981608453922
"ATG10" -1.57739634794308 2.97665043144666 0.00107508465350638 0.158974610781986
"FBXO17" -1.57654961658315 6.4197737751432 0.0010793543540687 0.158974610781986
"ITK" -1.57992925789927 5.1319099694707 0.00113350072713305 0.16464161202277
"MAP3K14" -1.57156350251621 5.49025135210399 0.00113426900599782 0.16464161202277
"TRIM64B" -1.59211122363701 2.97315260653359 0.00115306578763587 0.166165904979381
